=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
Ability 59                                             := Ship Crew Quarters
Ability 60                                             := Scanner Jammer
Ability 61                                             := Quantum Reactor
Ability 62                                             := Supply Storage
Ability 63                                             := Space Yard
Ability 64                                             := Maximum Population
Ability 65                                             := Resource Storage - Mineral
Ability 66                                             := Resource Storage - Organics
Ability 67                                             := Resource Storage - Radioactives
Ability 68                                             := Resource Gen Modifier Planet - Minerals
Ability 69                                             := Resource Gen Modifier Planet - Organics
Ability 70                                             := Resource Gen Modifier Planet - Radioactives
Ability 71                                             := Resource Gen Modifier System - Minerals
Ability 72                                             := Resource Gen Modifier System - Organics
Ability 73                                             := Resource Gen Modifier System - Radioactives
Ability 74                                             := Planet Point Generation Modifier - Research
Ability 75                                             := Planet Point Generation Modifier - Intelligence
Ability 76                                             := System Point Generation Modifier - Research
Ability 77                                             := System Point Generation Modifier - Intelligence
Ability 78                                             := Combat Modifier - System
Ability 79                                             := Damage Modifier - System
Ability 80                                             := Planet Value Change - System
Ability 81                                             := Planet Conditions Change - System
Ability 82                                             := Change Bad Event Chance - System
Ability 83                                             := Change Bad Intelligence Chance - System
Ability 84                                             := Change Population Happiness - System
Ability 85                                             := Ship Training
Ability 86                                             := Fleet Training
Ability 87                                             := Modify Reproduction - System
Ability 88                                             := Change Population - System
Ability 89                                             := Plague Prevention - System
Ability 90                                             := Resource Conversion
Ability 91                                             := Resource Reclamation
Ability 92                                             := Close Warp Point
Ability 93                                             := Destroy Star
Ability 94                                             := Create Star
Ability 95                                             := Destroy Storm
Ability 96                                             := Create Storm
Ability 97                                             := Self-Destruct
Ability 98                                             := Colonize Planet - Rock
Ability 99                                             := Colonize Planet - Ice
Ability 100                                            := Colonize Planet - Gas
Ability 101                                            := Point-Defense
Ability 102                                            := Armor
Ability 103                                            := Launch/Recover Satellites
Ability 104                                            := Remote Resource Generation - Minerals
Ability 105                                            := Remote Resource Generation - Organics
Ability 106                                            := Remote Resource Generation - Radioactives
Ability 107                                            := Armor Regeneration
Ability 108                                            := Shield Generation From Damage
Ability 109                                            := System - Movement Towards Center
Ability 110                                            := System - Movement Random
Ability 111                                            := System - Destructive Center
Ability 112                                            := Destroy Nebulae
Ability 113                                            := Create Nebulae
Ability 114                                            := Destroy Black Hole
Ability 115                                            := Create Black Hole
Ability 116                                            := Stop Planet Destroyer
Ability 117                                            := Stop Star Destroyer
Ability 118                                            := Stop Nebulae Creator
Ability 119                                            := Stop Black Hole Creator
Ability 120                                            := Stop Open Warp Point
Ability 121                                            := Stop Close Warp Point
Ability 122                                            := Component Destroyed On Use
Ability 123                                            := Ancient Ruins
Ability 124                                            := Ancient Ruins Unique
Ability 125                                            := Combat Best Experience
Ability 126                                            := Combat Movement
Ability 127                                            := Solar Supply Generation
Ability 128                                            := Extra Movement Generation
Ability 129                                            := Planet - Change Atmosphere
Ability 130                                            := Weapons Always Hit
Ability 131                                            := Create Constructed Planet
Ability 132                                            := Constructed Planet Requirements
Ability 133                                            := Modified Maintenance Cost
Ability 134                                            := Ship Training - System
Ability 135                                            := Fleet Training - System
Ability 136                                            := Long Range Scanner - System
Ability 137                                            := Solar Resource Generation - Minerals
Ability 138                                            := Solar Resource Generation - Organics
Ability 139                                            := Solar Resource Generation - Radioactives
Ability 140                                            := Reduced Maintenance Cost - System
Ability 141                                            := Shield Modifier - System
Ability 142                                            := Combat To Hit Offense Minus
Ability 143                                            := Combat To Hit Defense Minus
Ability 144                                            := Launch Drones
Ability 145                                            := AI Tag 01
Ability 146                                            := AI Tag 02
Ability 147                                            := AI Tag 03
Ability 148                                            := AI Tag 04
Ability 149                                            := AI Tag 05
Ability 150                                            := AI Tag 06
Ability 151                                            := AI Tag 07
Ability 152                                            := AI Tag 08
Ability 153                                            := AI Tag 09
Ability 154                                            := AI Tag 10
Ability 155                                            := AI Tag 11
Ability 156                                            := AI Tag 12
Ability 157                                            := AI Tag 13
Ability 158                                            := AI Tag 14
Ability 159                                            := AI Tag 15
Ability 160                                            := AI Tag 16
Ability 161                                            := AI Tag 17
Ability 162                                            := AI Tag 18
Ability 163                                            := AI Tag 19
Ability 164                                            := AI Tag 20
Ability 165                                            := Generate Points Minerals
Ability 166                                            := Generate Points Organics
Ability 167                                            := Generate Points Radioactives
Ability 168                                            := Generate Points Research
Ability 169                                            := Generate Points Intelligence
AI_Attak 1                                             := DEBUG
AI_Attak 2                                             := Attack Order for Ship
AI_Attak 3                                             := ) - Buildup In
AI_Attak 4                                             := ) - Attack
AI_ConstTypes 1                                        := Exploration
AI_ConstTypes 2                                        := Infrastructure
AI_ConstTypes 3                                        := Prepare for Attack
AI_ConstTypes 4                                        := Attack
AI_ConstTypes 5                                        := Secure Holdings After Attack
AI_ConstTypes 6                                        := Incursion
AI_ConstTypes 7                                        := Prepare for Defense
AI_ConstTypes 8                                        := Defend (Short Term)
AI_ConstTypes 9                                        := Defend (Long Term)
AI_ConstTypes 10                                       := Not Connected
AI_ConstTypes 11                                       := Design
AI_ConstTypes 12                                       := Facility Construction
AI_ConstTypes 13                                       := Ship Construction
AI_ConstTypes 14                                       := Expenses
AI_ConstTypes 15                                       := Production Output
AI_ConstTypes 16                                       := Research
AI_ConstTypes 17                                       := Intelligence
AI_ConstTypes 18                                       := Politics
AI_ConstTypes 19                                       := Repair
AI_ConstTypes 20                                       := Troops
AI_ConstTypes 21                                       := Resupply
AI_ConstTypes 22                                       := Transports
AI_ConstTypes 23                                       := Colonization
AI_ConstTypes 24                                       := Defense
AI_ConstTypes 25                                       := Patrol
AI_ConstTypes 26                                       := Scrap
AI_ConstTypes 27                                       := Carriers
AI_ConstTypes 28                                       := Retrofit
AI_ConstTypes 29                                       := Mines\Satellites\Drones
AI_ConstTypes 30                                       := Fleets
AI_ConstTypes 31                                       := Stellar Manipulation
AI_ConstTypes 32                                       := Ship Cloaking
AI_ConstTypes 33                                       := Space Yard Ships
AI_ConstTypes 34                                       := Homeworld
AI_ConstTypes 35                                       := Mining Colony
AI_ConstTypes 36                                       := Farming Colony
AI_ConstTypes 37                                       := Refining Colony
AI_ConstTypes 38                                       := Resupply Base
AI_ConstTypes 39                                       := Research Compound
AI_ConstTypes 40                                       := Intelligence Compound
AI_ConstTypes 41                                       := Construction Yard
AI_ConstTypes 42                                       := Military Installation
AI_ConstTypes 43                                       := Imperial Center
AI_Defns 1                                             := DEBUG
AI_Defns 2                                             := Defense Order for Ship
AI_Defns 3                                             := ) - Defend
AI_Desgn 1                                             := Load Error
AI_Desgn 2                                             := Unable to open your design names file
AI_Desgn 3                                             := Design
AI_DsTyp 1                                             := Attack
AI_DsTyp 2                                             := Defense
AI_DsTyp 3                                             := Attack Base
AI_DsTyp 4                                             := Defense Base
AI_DsTyp 5                                             := Base SY
AI_DsTyp 6                                             := Transport
AI_DsTyp 7                                             := Carrier
AI_DsTyp 8                                             := Colonizing Rock
AI_DsTyp 9                                             := Colonizing Ice
AI_DsTyp 10                                            := Colonizing Gas
AI_DsTyp 11                                            := Mine
AI_DsTyp 12                                            := Mine Layer
AI_DsTyp 13                                            := Mine Sweeper
AI_DsTyp 14                                            := Boarding Ship
AI_DsTyp 15                                            := Open WP
AI_DsTyp 16                                            := Close WP
AI_DsTyp 17                                            := Create Planet
AI_DsTyp 18                                            := Destroy Planet
AI_DsTyp 19                                            := Create Sun
AI_DsTyp 20                                            := Destroy Sun
AI_DsTyp 21                                            := Create Storm
AI_DsTyp 22                                            := Destroy Storm
AI_DsTyp 23                                            := Space Yard Ship
AI_Explr 1                                             := ) - Explore
AI_Explr 2                                             := DEBUG
AI_Explr 3                                             := Explore Order for Ship
AI_Fleet 1                                             := Fleet
AI_Fleet 2                                             := ) - In
AI_Fleet 3                                             := Fleet
AI_Fleet 4                                             := - Attack
AI_Fleet 5                                             := - Seek after
AI_Fleet 6                                             := - Seek Location
AI_Fleet 7                                             := - Give Leader Orders:
AI_Fleet 8                                             := DEBUG
AI_Fleet 9                                             := Fleet Leader Explore Order for Ship
AI_Fleet 10                                            := ) - Join Fleet
AI_Mind 1                                              := None
AI_Mind 2                                              := (Atk:
AI_Mind 3                                              := , Bldup:
AI_Mind 4                                              := (Secure:
AI_Mind 5                                              := (DmgSys:
AI_Mind 6                                              := (DefSys:
AI_Mind 7                                              := Reason:
AI_Mind 8                                              := Enemy in Territory
AI_Mind 9                                              := Disconnected
AI_Mind 10                                             := Enemy Nearby
AI_Mind 11                                             := No Unexplored Systems
AI_Mind 12                                             := System to Attack
AI_Mind 13                                             := System To Hurt
AI_Mind 14                                             := Enemy Massing Nearby
AI_Mind 15                                             := Attack System = 0
AI_Mind 16                                             := Buildup System = 0
AI_Mind 17                                             := Target System Cannot Be Conquered
AI_Mind 18                                             := No Ships to Continue Attack
AI_Mind 19                                             := System not good to Attack
AI_Mind 20                                             := Forces Ready to Attack
AI_Mind 21                                             := Preparing Too Long
AI_Mind 22                                             := Attack Systems Conquered
AI_Mind 23                                             := Attacking Too Long
AI_Mind 24                                             := Secure System = 0
AI_Mind 25                                             := Secure System Not Conquered
AI_Mind 26                                             := System Secured
AI_Mind 27                                             := Damage System = 0
AI_Mind 28                                             := Damage System To Well Defended
AI_Mind 29                                             := Enemy Forces Destroyed
AI_Mind 30                                             := Defend System = 0
AI_Mind 31                                             := Threatened System Safe
AI_Mind 32                                             := No Enemy in Territory & Enemy Nearby
AI_Mind 33                                             := No Enemy in Territory & No Explored Systems
AI_Mind 34                                             := No Enemy in Territory
AI_Mind 35                                             := No longer Disconnected
Ai_Minis 1                                             := Brotherly
Ai_Minis 2                                             := Amiable
Ai_Minis 3                                             := Receptive
Ai_Minis 4                                             := Warm
Ai_Minis 5                                             := Moderate
Ai_Minis 6                                             := Cool
Ai_Minis 7                                             := Displeased
Ai_Minis 8                                             := Angry
Ai_Minis 9                                             := Murderous
Ai_Minis 10                                            := s designs to see if any haven
AI_Polit 1                                             := t already sent one, and if we don
AI_Polit 2                                             := We do not have the items you request.
AI_Polit 3                                             := We cannot afford the items you wish to trade.
AI_Polit 4                                             := This trade is beyond our means.
AI_Purch 1                                             := t have any money, then don
AI_Script 1                                            := Vehicle Size Data File Errors
AI_Script 2                                            := Name
AI_Script 3                                            := Description
AI_Script 4                                            := Code
AI_Script 5                                            := Vehicle Type
AI_Script 6                                            := Spaces
AI_Script 7                                            := Pic Num
AI_Script 8                                            := Engines Per Move
AI_Script 9                                            := Launched from Ship
AI_Script 10                                           := Launched from Planet
AI_Script 11                                           := Random Explorer
AI_Script 12                                           := Seeks towards Target
AI_Script 13                                           := Seeks towards Sector
AI_Script 14                                           := Hits Target
AI_Script 15                                           := Launch Loads Troops
AI_Script 16                                           := Launch Loads Mines
AI_Script 17                                           := Launch Loads Sats
AI_Script 18                                           := Refuels Target
AI_Script 19                                           := Requires Launcher
Ai_ScriptLoaderAnger 1                                 := Ai Anger Errors:
Ai_ScriptLoaderAnger 2                                 := Receive
Ai_ScriptLoaderAnger 3                                 := Per Attack Location
Ai_ScriptLoaderAnger 4                                 := Per No Treaty Ship
Ai_ScriptLoaderAnger 5                                 := Per Ally Ship
Ai_ScriptLoaderAnger 6                                 := Per Enemy Ship
Ai_ScriptLoaderAnger 7                                 := Minimum Anger
Ai_ScriptLoaderAnger 8                                 := Regular Decrease
Ai_ScriptLoaderAnger 9                                 := Mega Evil Empire
Ai_ScriptLoaderAnger 10                                := Combat Attacking Won
Ai_ScriptLoaderAnger 11                                := Combat Attacking Lost
Ai_ScriptLoaderAnger 12                                := Combat Attacking Stalemate
Ai_ScriptLoaderAnger 13                                := Combat Defending Won
Ai_ScriptLoaderAnger 14                                := Combat Defending Lost
Ai_ScriptLoaderAnger 15                                := Combat Defending Stalemate
Ai_ScriptLoaderAnger 16                                := Intelligence Against Us
Ai_ScriptLoaderConstructionFacilities 1                := Ai Construction Facilities Errors:
Ai_ScriptLoaderConstructionFacilities 2                := Main
Ai_ScriptLoaderConstructionFacilities 3                := AI State
Ai_ScriptLoaderConstructionFacilities 4                := Construction Queue Type
Ai_ScriptLoaderConstructionFacilities 5                := Num Queue Entries
Ai_ScriptLoaderConstructionFacilities 6                := Facility
Ai_ScriptLoaderConstructionFacilities 7                := Ability
Ai_ScriptLoaderConstructionFacilities 8                := Amount
Ai_ScriptLoaderConstructionUnits 1                     := Ai Construction Units Errors:
Ai_ScriptLoaderConstructionUnits 2                     := Percentage of Resources To Reserve For Unit Construction
Ai_ScriptLoaderConstructionUnits 3                     := Colony Type
Ai_ScriptLoaderConstructionUnits 4                     := Num Queue Entries
Ai_ScriptLoaderConstructionUnits 5                     := Entry
Ai_ScriptLoaderConstructionUnits 6                     := Type
Ai_ScriptLoaderConstructionUnits 7                     := Maximum in kT
Ai_ScriptLoaderConstructionVehicles 1                  := Ai Construction Vehicles Errors:
Ai_ScriptLoaderConstructionVehicles 2                  := Main
Ai_ScriptLoaderConstructionVehicles 3                  := AI State
Ai_ScriptLoaderConstructionVehicles 4                  := Num Queue Entries
Ai_ScriptLoaderConstructionVehicles 5                  := Entry
Ai_ScriptLoaderConstructionVehicles 6                  := Type
Ai_ScriptLoaderConstructionVehicles 7                  := Colonizer
Ai_ScriptLoaderConstructionVehicles 8                  := Planet Per Item
Ai_ScriptLoaderConstructionVehicles 9                  := Must Have At Least
Ai_ScriptLoaderDesignCreation 1                        := Ai Design Creation Errors:
Ai_ScriptLoaderDesignCreation 2                        := Name
Ai_ScriptLoaderDesignCreation 3                        := Design Type
Ai_ScriptLoaderDesignCreation 4                        := Vehicle Type
Ai_ScriptLoaderDesignCreation 5                        := Default Strategy
Ai_ScriptLoaderDesignCreation 6                        := Ram
Ai_ScriptLoaderDesignCreation 7                        := Kamikaze
Ai_ScriptLoaderDesignCreation 8                        := Size Minimum Tonnage
Ai_ScriptLoaderDesignCreation 9                        := Size Maximum Tonnage
Ai_ScriptLoaderDesignCreation 10                       := Num Must Have At Least 1 Ability
Ai_ScriptLoaderDesignCreation 11                       := Must Have Ability
Ai_ScriptLoaderDesignCreation 12                       := Weapon
Ai_ScriptLoaderDesignCreation 13                       := Minimum Speed
Ai_ScriptLoaderDesignCreation 14                       := Desired Speed
Ai_ScriptLoaderDesignCreation 15                       := Majority Weapon Family Pick
Ai_ScriptLoaderDesignCreation 16                       := Secondary Weapon Family Pick
Ai_ScriptLoaderDesignCreation 17                       := Shields Spaces Per One
Ai_ScriptLoaderDesignCreation 18                       := Armor Spaces Per One
Ai_ScriptLoaderDesignCreation 19                       := Majority Comp Spaces Per One
Ai_ScriptLoaderDesignCreation 20                       := Majority Comp Ability
Ai_ScriptLoaderDesignCreation 21                       := Secondary Comp Spaces Per One
Ai_ScriptLoaderDesignCreation 22                       := Secondary Comp Ability
Ai_ScriptLoaderDesignCreation 23                       := Num Misc Abilities
Ai_ScriptLoaderDesignCreation 24                       := Misc Ability
Ai_ScriptLoaderDesignCreation 25                       := Spaces Per One
AI_ScriptLoaderFleets 1                                := Ai Fleet Settings Errors:
AI_ScriptLoaderFleets 2                                := Fleet Settings
AI_ScriptLoaderFleets 3                                := Fleets Num Divisions
AI_ScriptLoaderFleets 4                                := Fleets Div
AI_ScriptLoaderFleets 5                                := Max Amount of Ships
AI_ScriptLoaderFleets 6                                := Max Amount of Planets
AI_ScriptLoaderFleets 7                                := Num Fleets
AI_ScriptLoaderFleets 8                                := Fleets Percentage of Ships For Fleets
AI_ScriptLoaderFleets 9                                := Fleets Dont Use For Num Turns
AI_ScriptLoaderFleets 10                               := Fleets Default Formation
AI_ScriptLoaderFleets 11                               := Fleets Default Strategy
AI_ScriptLoaderFleets 12                               := Percentage of Fleets to use for defense
AI_ScriptLoaderGeneral 1                               := Ai General Settings Errors:
AI_ScriptLoaderGeneral 2                               := Name
AI_ScriptLoaderGeneral 3                               := Description
AI_ScriptLoaderGeneral 4                               := Empire Name
AI_ScriptLoaderGeneral 5                               := Empire Type
AI_ScriptLoaderGeneral 6                               := Emperor Name
AI_ScriptLoaderGeneral 7                               := Emperor Title
AI_ScriptLoaderGeneral 8                               := Biological Description
AI_ScriptLoaderGeneral 9                               := Society Description
AI_ScriptLoaderGeneral 10                              := General History Description
AI_ScriptLoaderGeneral 11                              := Demeanor
AI_ScriptLoaderGeneral 12                              := Happiness Type
AI_ScriptLoaderGeneral 13                              := Culture
AI_ScriptLoaderGeneral 14                              := Planet Type
AI_ScriptLoaderGeneral 15                              := Atmosphere
AI_ScriptLoaderGeneral 16                              := Design Name File
AI_ScriptLoaderGeneral 17                              := Race Opt
AI_ScriptLoaderGeneral 18                              := Num Characteristics
AI_ScriptLoaderGeneral 19                              := Characteristic
AI_ScriptLoaderGeneral 20                              := Type
AI_ScriptLoaderGeneral 21                              := Amount
AI_ScriptLoaderGeneral 22                              := Num Advanced Traits
AI_ScriptLoaderGeneral 23                              := Adv Trait
Ai_ScriptLoaderPlanetTypes 1                           := Ai Planet Types Errors:
Ai_ScriptLoaderPlanetTypes 2                           := AI State
Ai_ScriptLoaderPlanetTypes 3                           := Planet Type
Ai_ScriptLoaderPlanetTypes 4                           := Max Per System
Ai_ScriptLoaderPlanetTypes 5                           := Percent Of Colonies
Ai_ScriptLoaderPlanetTypes 6                           := Minimum Planet Size for Type
Ai_ScriptLoaderPlanetTypes 7                           := Mineral Value
Ai_ScriptLoaderPlanetTypes 8                           := Organics Value
Ai_ScriptLoaderPlanetTypes 9                           := Radioactives Value
Ai_ScriptLoaderPlanetTypes 10                          := Maximum Total in Empire
Ai_ScriptLoaderPolitics 1                              := Ai Politics Errors:
Ai_ScriptLoaderPolitics 2                              := Main
Ai_ScriptLoaderPolitics 3                              := Score Percent For Demanding Tone
Ai_ScriptLoaderPolitics 4                              := Score Percent To Pleading Tone
Ai_ScriptLoaderPolitics 5                              := Highest Allowed Treaty
Ai_ScriptLoaderPolitics 6                              := Turns Since Last War Before Friendly Treaty
Ai_ScriptLoaderPolitics 7                              := Accept Treaty Base Anger Level
Ai_ScriptLoaderPolitics 8                              := Accept Treaty Anger Modifier Per Higher Treaty Level
Ai_ScriptLoaderPolitics 9                              := Accept Treaty Minimum Anger Chance
Ai_ScriptLoaderPolitics 10                             := Accept Treaty Anger Modifier Per Other Wars
Ai_ScriptLoaderPolitics 11                             := Accept Treaty Minimum Time From Last Treaty
Ai_ScriptLoaderPolitics 12                             := Accept Treaty First 50 Turns Modifier
Ai_ScriptLoaderPolitics 13                             := Accept Treaty
Ai_ScriptLoaderPolitics 14                             := Accept Treaty Score Percent To Accept Subjugation Treaty
Ai_ScriptLoaderPolitics 15                             := Accept Treaty Score Percent To Accept Protectorate Treaty
Ai_ScriptLoaderPolitics 16                             := Propose Treaty Percent Chance Per Turn
Ai_ScriptLoaderPolitics 17                             := Propose Treaty Base Anger Level
Ai_ScriptLoaderPolitics 18                             := Propose Treaty Anger Modifier Per Other Wars
Ai_ScriptLoaderPolitics 19                             := Propose Treaty First 50 Turns Modifier
Ai_ScriptLoaderPolitics 20                             := Propose Treaty
Ai_ScriptLoaderPolitics 21                             := Propose Treaty Type Count
Ai_ScriptLoaderPolitics 22                             := Propose Treaty Type
Ai_ScriptLoaderPolitics 23                             := Anger Level Below Computed
Ai_ScriptLoaderPolitics 24                             := Break Treaty Base Anger Level
Ai_ScriptLoaderPolitics 25                             := Break Treaty Anger Modifier Per Other Wars
Ai_ScriptLoaderPolitics 26                             := Break Treaty
Ai_ScriptLoaderPolitics 27                             := Declare War Base Anger Level
Ai_ScriptLoaderPolitics 28                             := Declare War Anger Modifier Per Other Wars
Ai_ScriptLoaderPolitics 29                             := Declare War
Ai_ScriptLoaderPolitics 30                             := Max Anger Level for Accept a Gift
Ai_ScriptLoaderPolitics 31                             := Max Anger Level for Accept a Tribute
Ai_ScriptLoaderPolitics 32                             := Score Percent to Send
Ai_ScriptLoaderPolitics 33                             := Will Send To Friend
Ai_ScriptLoaderPolitics 34                             := Will Send To Enemy
Ai_ScriptLoaderPolitics 35                             := Score Percent To Accept
Ai_ScriptLoaderPolitics 36                             := Will Accept From Friend
Ai_ScriptLoaderPolitics 37                             := Will Accept From Enemy
Ai_ScriptLoaderPolitics 38                             := Gift Value Base to Friend
Ai_ScriptLoaderPolitics 39                             := Gift Value Base to Enemy
Ai_ScriptLoaderPolitics 40                             := Tribute Value Base to Friend
Ai_ScriptLoaderPolitics 41                             := Tribute Value Base to Enemy
Ai_ScriptLoaderPolitics 42                             := Gift Value to Friend Per Percentage Greater Score
Ai_ScriptLoaderPolitics 43                             := Gift Value to Enemy Per Percentage Greater Score
Ai_ScriptLoaderPolitics 44                             := Tribute Value to Friend Per Percentage Greater Score
Ai_ScriptLoaderPolitics 45                             := Tribute Value to Enemy Per Percentage Greater Score
Ai_ScriptLoaderPolitics 46                             := Gift to Friend Max Anger
Ai_ScriptLoaderPolitics 47                             := Gift to Enemy Max Anger
Ai_ScriptLoaderPolitics 48                             := Tribute to Friend Max Anger
Ai_ScriptLoaderPolitics 49                             := Tribute to Enemy Max Anger
Ai_ScriptLoaderPolitics 50                             := Accept Trade From Friend At Percentage Value or Greater of Received
Ai_ScriptLoaderPolitics 51                             := Accept Trade From Enemy At Percentage Value or Greater of Received
Ai_ScriptLoaderPolitics 52                             := Anger Modifier For Percent Stronger Player
Ai_ScriptLoaderPolitics 53                             := Anger Modifier For Percent Stronger Player Amount
Ai_ScriptLoaderPolitics 54                             := Anger Modifier For Percent Weaker Player
Ai_ScriptLoaderPolitics 55                             := Anger Modifier For Percent Weaker Player Amount
Ai_ScriptLoaderPolitics 56                             := s a mega evil player then we don
Ai_ScriptLoaderPolitics 57                             := re at war with a lot of people already, then don
AI_ScriptLoaderResearch 1                              := Errors in Ai Research:
AI_ScriptLoaderResearch 2                              := Tech Area Name
AI_ScriptLoaderResearch 3                              := AI State
AI_ScriptLoaderResearch 4                              := Tech Area Level
AI_ScriptLoaderResearch 5                              := Tech Area Min Percent
AI_ScriptLoaderSettings 1                              := Ai Settings Errors:
AI_ScriptLoaderSettings 2                              := Settings
AI_ScriptLoaderSettings 3                              := Max Ship Size Tonnage From Start
AI_ScriptLoaderSettings 4                              := Amount
AI_ScriptLoaderSettings 5                              := Num Turns
AI_ScriptLoaderSettings 6                              := Turns to Wait until next attack
AI_ScriptLoaderSettings 7                              := Maximum Maintenance Percent of Revenue
AI_ScriptLoaderSettings 8                              := Maximum Research Point Generation
AI_ScriptLoaderSettings 9                              := Maximum Intelligence Point Generation
AI_ScriptLoaderSettings 10                             := Maximum Systems to Defend at a Time
AI_ScriptLoaderSettings 11                             := Get Angry Over Allied Colonizable Planets
AI_ScriptLoaderSettings 12                             := Get Angry Over Enemy Colonizable Planets
AI_ScriptLoaderSettings 13                             := Percentage of Allied Planets to consider as Attack Locations for Anger
AI_ScriptLoaderSettings 14                             := Percentage of Enemy Planets to consider as Attack Locations for Anger
AI_ScriptLoaderSettings 15                             := Personality Group
AI_ScriptLoaderSettings 16                             := Ships don't move through minefields
AI_ScriptLoaderSettings 17                             := Clear orders on encounter enemy
AI_ScriptLoaderSettings 18                             := Clear orders on encounter all
AI_ScriptLoaderSettings 19                             := Percentage of total satellites to keep as planetary cargo
AI_ScriptLoaderSettings 20                             := Percentage of total drones to keep as planetary cargo
AI_ScriptLoaderSettings 21                             := Number Of Anti-Ship Drones Per Target
AI_ScriptLoaderSettings 22                             := Number Of Anti-Planet Drones Per Target
AI_ScriptLoaderSettings 23                             := Maximum Anti-Ship Drone Target System Distance
AI_ScriptLoaderSettings 24                             := Maximum Anti-Planet Drone Target System Distance
AI_ScriptLoaderSettings 25                             := Ships don't move through restricted systems
Ai_ScriptLoaderSpeech 1                                := Ai Script Errors:
Ai_ScriptLoaderSpeech 2                                := Send
Ai_ScriptLoaderSpeech 3                                := Friend
Ai_ScriptLoaderSpeech 4                                := Enemy
Ai_ScriptLoaderSpeech 5                                := Miscellaneous Msg
Ai_ScriptLoaderSpeech 6                                := Response
Ai_ScriptLoaderSpeech 7                                := YES
Ai_ScriptLoaderSpeech 8                                := NO
Ai_ScriptLoaderSpeech 9                                := Mega Evil Declarations
Ai_ScriptLoaderSpeech 10                               := Number of
Ai_ScriptLoaderSpeech 11                               := Mega Evil Declaration
Atmos 1                                                := NA
Atmos 2                                                := None
Atmos 3                                                := Methane
Atmos 4                                                := Oxygen
Atmos 5                                                := Hydrogen
Atmos 6                                                := Carbon Dioxide
Atmos 7                                                := Rock
Atmos 8                                                := Ice
Atmos 9                                                := Gas Giant
Atmos 10                                               := a Rock planet
Atmos 11                                               := an Ice planet
Atmos 12                                               := a Gas Giant planet
AutoMove 1                                             := Error in AM_Determine_Move_Location, Location out of bounds!
AutoMove 2                                             := t one then change strategy to don
BitList 1                                              := BitList Error
Bitmaps 1                                              := Unable to load "
ByteList 1                                             := Invalid Index
Cargo 1                                                := People
Cargo 2                                                := None
Cargo 3                                                := Population
CargoLaunch 1                                          := could not launch its units.
CargoLaunch 2                                          := Only Fighters, Satellites, Drones, and Mines may be launched into space.
CargoLaunch 3                                          := Launch Warning
CargoLaunch 4                                          := A cloaked vehicle cannot launch units into space.
CargoLaunch 5                                          := cannot launch fighters into space.
CargoLaunch 6                                          := cannot launch drones into space.
