=======================================================================================
AI DATA FILE - Default
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
Send Demand your surrender 1                                      := Your empire is about to fall, we demand your surrender.
Send Demand your surrender 2                                      := 
Send Demand your surrender 3                                      := 
Number of Send Remove your ships from system                      := 1
Send Remove your ships from system 1                              := You must immediately remove all of your ships from the [%SystemName] system.
Send Remove your ships from system 2                              := 
Send Remove your ships from system 3                              := 
Number of Send Remove your colonies from system                   := 1
Send Remove your colonies from system 1                           := You must immediately remove your people from the [%SystemName] system.
Send Remove your colonies from system 2                           := 
Send Remove your colonies from system 3                           := 
Number of Send Leave planet                                       := 1
Send Leave planet 1                                               := The planet [%PlanetName] is claimed by our empire. Remove your populations.
Send Leave planet 2                                               := 
Send Leave planet 3                                               := 
Number of Send Stop hostile actions against empire                := 1
Send Stop hostile actions against empire 1                        := Your aggression against the [%OtherEmpireName] is unjustified. Cease at once.
Send Stop hostile actions against empire 2                        := 
Send Stop hostile actions against empire 3                        := 
Number of Send Break treaty with empire                           := 1
Send Break treaty with empire 1                                   := We demand that you break your treaty with the [%OtherEmpireName].
Send Break treaty with empire 2                                   := 
Send Break treaty with empire 3                                   := 
Number of Send Declare war on empire                              := 1
Send Declare war on empire 1                                      := You must immediately declare war on the [%OtherEmpireName].
Send Declare war on empire 2                                      := 
Send Declare war on empire 3                                      := 
Number of Send Make peace with empire                             := 1
Send Make peace with empire 1                                     := You must make peace with the [%OtherEmpireName].
Send Make peace with empire 2                                     := 
Send Make peace with empire 3                                     := 
Number of Send Support us against another empire                  := 1
Send Support us against another empire 1                          := We require your support against the [%OtherEmpireName].
Send Support us against another empire 2                          := 
Send Support us against another empire 3                          := 
Number of Send Attack empire in system                            := 1
Send Attack empire in system 1                                    := We must coordinate our military efforts against the [%OtherEmpireName] in the [%SystemName] system.
Send Attack empire in system 2                                    := 
Send Attack empire in system 3                                    := 
Number of Send Attack planet                                      := 1
Send Attack planet 1                                              := You must send your forces to attack [%PlanetName].
Send Attack planet 2                                              := 
Send Attack planet 3                                              := 
Number of Send Stop espionage activities                          := 1
Send Stop espionage activities 1                                  := Stop your espionage activities against us at once!
Send Stop espionage activities 2                                  := 
Send Stop espionage activities 3                                  := 
Number of Send Stop sabotage activities                           := 1
Send Stop sabotage activities 1                                   := Stop your sabotage activities against us at once!
Send Stop sabotage activities 2                                   := 
Send Stop sabotage activities 3                                   := 
Number of Send Stop attacks in system                             := 1
Send Stop attacks in system 1                                     := Stop your flagrant attacks in the [%SystemName] system.
Send Stop attacks in system 2                                     := 
Send Stop attacks in system 3                                     := 
Number of Send Demand / Request / Warn                            := 0
Number of Send Surrender                                          := 1
Send Surrender 1                                                  := We surrender to your empire.
Send Surrender 2                                                  := 
Send Surrender 3                                                  := 
Number of Send Grant independence to colony                       := 1
Send Grant independence to colony 1                               := We grant independence to your colony on [%PlanetName].
Send Grant independence to colony 2                               :=  
Send Grant independence to colony 3                               :=
Number of Send Accept Demand/Request                              := 0
Number of Send Refuse Demand/Request                              := 0
Number of Send Friend Miscellaneous Msg                           := 4
Send Friend Miscellaneous Msg 1                                   := We are glad to have a strong ally such as you.
Send Friend Miscellaneous Msg 2                                   := Your military prowess is exceptional.
Send Friend Miscellaneous Msg 3                                   := There are many dangers that threaten our treaty.
Send Friend Miscellaneous Msg 4                                   := There are rumors that one of your planets is going to rebel.
Number of Send Enemy Miscellaneous Msg                            := 4
Send Enemy Miscellaneous Msg 1                                    := You will burn.
Send Enemy Miscellaneous Msg 2                                    := Your empire is at the end of its existence.
Send Enemy Miscellaneous Msg 3                                    := You have just begun to realize your folly.
Send Enemy Miscellaneous Msg 4                                    := Your demise is imminent.
Number of Response Friend Accept Treaty                           := 1
Response Friend Accept Treaty 1                                   := This is a tremendous day!
Response Friend Accept Treaty 2                                   := 
Response Friend Accept Treaty 3                                   := 
Number of Response Friend Refuse Treaty                           := 1
Response Friend Refuse Treaty 1                                   := We're sorry to hear that. 
Response Friend Refuse Treaty 2                                   := 
Response Friend Refuse Treaty 3                                   := 
Number of Response Friend Break Treaty                            := 1
Response Friend Break Treaty 1                                    := You must not break our treaty!.
Response Friend Break Treaty 2                                    := 
Response Friend Break Treaty 3                                    := 
Number of Response Friend Declare War                             := 1
Response Friend Declare War 1                                     := Backstabber! You shall pay.
Response Friend Declare War 2                                     := 
Response Friend Declare War 3                                     := 
Number of Response Friend Accept Trade                            := 1
Response Friend Accept Trade 1                                    := Glad to do business with you.
Response Friend Accept Trade 2                                    := 
Response Friend Accept Trade 3                                    := 
Number of Response Friend Refuse Trade                            := 1
Response Friend Refuse Trade 1                                    := That was an equitable trade you refused. 
Response Friend Refuse Trade 2                                    := 
Response Friend Refuse Trade 3                                    := 
Number of Response Friend Accept Gift                             := 1
Response Friend Accept Gift 1                                     := We're glad you enjoy the gift.
Response Friend Accept Gift 2                                     := 
Response Friend Accept Gift 3                                     := 
Number of Response Friend Refuse Gift                             := 1
Response Friend Refuse Gift 1                                     := You insult us by refusing.
Response Friend Refuse Gift 2                                     := 
Response Friend Refuse Gift 3                                     := 
Number of Response Friend Accept Tribute                          := 0
Response Friend Accept Tribute 1                                  := 
Response Friend Accept Tribute 2                                  := 
Response Friend Accept Tribute 3                                  := 
Number of Response Friend Refuse Tribute                          := 0
Response Friend Refuse Tribute 1                                  := 
Response Friend Refuse Tribute 2                                  := 
Response Friend Refuse Tribute 3                                  := 
Number of Response Friend Want a gift                             := 1
Response Friend Want a gift 1                                     := We cannot supply that gift at this time.
Response Friend Want a gift 2                                     := 
Response Friend Want a gift 3                                     := 
Number of Response Friend Want a tribute                          := 1
Response Friend Want a tribute 1                                  := We cannot afford such as large tribute!
Response Friend Want a tribute 2                                  := 
Response Friend Want a tribute 3                                  := 
Number of Response Friend Demand your surrender                   := 1
Response Friend Demand your surrender 1                           := Our honor will not allow us to surrender to an ally!
Response Friend Demand your surrender 2                           := 
Response Friend Demand your surrender 3                           := 
Number of Response Friend YES Remove your ships from system       := 1
Response Friend YES Remove your ships from system 1               := We will remove our ships.
Response Friend YES Remove your ships from system 2               := 
Response Friend YES Remove your ships from system 3               := 
Number of Response Friend NO Remove your ships from system        := 1
Response Friend NO Remove your ships from system 1                := We will not remove our ships!
Response Friend NO Remove your ships from system 2                := 
Response Friend NO Remove your ships from system 3                := 
Number of Response Friend YES Remove your colonies from system    := 1
Response Friend YES Remove your colonies from system 1            := We will leave the system as soon as possible.
Response Friend YES Remove your colonies from system 2            := 
Response Friend YES Remove your colonies from system 3            := 
Number of Response Friend NO Remove your colonies from system     := 1
Response Friend NO Remove your colonies from system 1             := We will not leave the system.
Response Friend NO Remove your colonies from system 2             := 
Response Friend NO Remove your colonies from system 3             := 
Number of Response Friend YES Leave planet                        := 1
Response Friend YES Leave planet 1                                := We are sending transports to remove the population from the planet.
Response Friend YES Leave planet 2                                := 
Response Friend YES Leave planet 3                                := 
Number of Response Friend NO Leave planet                         := 1
Response Friend NO Leave planet 1                                 := Our race has been on the planet long enough to never want to leave.
Response Friend NO Leave planet 2                                 := 
Response Friend NO Leave planet 3                                 := 
Number of Response Friend YES Stop hostile actions against empire := 1
Response Friend YES Stop hostile actions against empire 1         := We will cease our activities against the [%OtherEmpireName].
Response Friend YES Stop hostile actions against empire 2         := 
Response Friend YES Stop hostile actions against empire 3         := 
Number of Response Friend NO Stop hostile actions against empire  := 1
Response Friend NO Stop hostile actions against empire 1          := Our war against the [%OtherEmpireName] will stop when they capitulate.
Response Friend NO Stop hostile actions against empire 2          := 
Response Friend NO Stop hostile actions against empire 3          := 
Number of Response Friend YES Break treaty with empire            := 1
Response Friend YES Break treaty with empire 1                    := Our treaty with the [%OtherEmpireName] is done.
Response Friend YES Break treaty with empire 2                    := 
Response Friend YES Break treaty with empire 3                    := 
Number of Response Friend NO Break treaty with empire             := 1
Response Friend NO Break treaty with empire 1                     := Our treaty with the [%OtherEmpireName] will outlast your empire!
Response Friend NO Break treaty with empire 2                     := 
Response Friend NO Break treaty with empire 3                     := 
Number of Response Friend YES Declare war on empire               := 1
Response Friend YES Declare war on empire 1                       := We shall declare war on the [%OtherEmpireName].
Response Friend YES Declare war on empire 2                       := 
Response Friend YES Declare war on empire 3                       := 
Number of Response Friend NO Declare war on empire                := 1
Response Friend NO Declare war on empire 1                        := We would never declare war on our strongest ally!
Response Friend NO Declare war on empire 2                        := 
Response Friend NO Declare war on empire 3                        := 
Number of Response Friend YES Make peace with empire              := 1
Response Friend YES Make peace with empire 1                      := We will make peace with the [%OtherEmpireName].
Response Friend YES Make peace with empire 2                      := 
Response Friend YES Make peace with empire 3                      := 
Number of Response Friend NO Make peace with empire               := 1
Response Friend NO Make peace with empire 1                       := The [%OtherEmpireName] don't understand peace, they only understand war.
Response Friend NO Make peace with empire 2                       := 
Response Friend NO Make peace with empire 3                       := 
Number of Response Friend YES Support us against another empire   := 1
Response Friend YES Support us against another empire 1           := We will support your efforts against the [%OtherEmpireName].
Response Friend YES Support us against another empire 2           := 
Response Friend YES Support us against another empire 3           := 
Number of Response Friend NO Support us against another empire    := 1
Response Friend NO Support us against another empire 1            := We cannot get involved in your conflict with the [%OtherEmpireName].
Response Friend NO Support us against another empire 2            := 
Response Friend NO Support us against another empire 3            := 
Number of Response Friend YES Attack empire in system             := 1
Response Friend YES Attack empire in system 1                     := We will attack the [%OtherEmpireName] in the [%SystemName] system shortly.
Response Friend YES Attack empire in system 2                     := 
Response Friend YES Attack empire in system 3                     := 
Number of Response Friend NO Attack empire in system              := 1
Response Friend NO Attack empire in system 1                      := The [%SystemName] system is off limits to us.
Response Friend NO Attack empire in system 2                      := 
Response Friend NO Attack empire in system 3                      := 
Number of Response Friend YES Attack planet                       := 1
Response Friend YES Attack planet 1                               := We are sending a fleet to attack [%PlanetName].
Response Friend YES Attack planet 2                               := 
Response Friend YES Attack planet 3                               := 
Number of Response Friend NO Attack planet                        := 1
Response Friend NO Attack planet 1                                := [%PlanetName] is too far outside our territory.
Response Friend NO Attack planet 2                                := 
Response Friend NO Attack planet 3                                := 
Number of Response Friend YES Stop espionage activities           := 1
Response Friend YES Stop espionage activities 1                   := We will stop these unwarranted attacks against you.
Response Friend YES Stop espionage activities 2                   := 
Response Friend YES Stop espionage activities 3                   := 
Number of Response Friend NO Stop espionage activities            := 1
Response Friend NO Stop espionage activities 1                    := We cannot at this time. We must know all.
Response Friend NO Stop espionage activities 2                    := 
Response Friend NO Stop espionage activities 3                    := 
Number of Response Friend YES Stop sabotage activities            := 1
Response Friend YES Stop sabotage activities 1                    := We apologize for this unfortunate accident.
Response Friend YES Stop sabotage activities 2                    := 
Response Friend YES Stop sabotage activities 3                    := 
Number of Response Friend NO Stop sabotage activities             := 1
Response Friend NO Stop sabotage activities 1                     := We do what we must.
Response Friend NO Stop sabotage activities 2                     := 
Response Friend NO Stop sabotage activities 3                     := 
Number of Response Friend YES Stop attacks in system              := 1
Response Friend YES Stop attacks in system 1                      := We will cease our military in the [%SystemName] system.
Response Friend YES Stop attacks in system 2                      := 
Response Friend YES Stop attacks in system 3                      := 
Number of Response Friend NO Stop attacks in system               := 1
Response Friend NO Stop attacks in system 1                       := The [%SystemName] system must be subdued.
Response Friend NO Stop attacks in system 2                       := 
Response Friend NO Stop attacks in system 3                       := 
Number of Response Friend Demand / Request / Warn                 := 0
Number of Response Friend Surrender                               := 1
Response Friend Surrender 1                                       := We accept your surrender.
Response Friend Surrender 2                                       := 
Response Friend Surrender 3                                       := 
Number of Response Friend Grant independence to colony            := 1
Response Friend Grant independence to colony 1                    := We welcome our returning colony of [%PlanetName].
Response Friend Grant independence to colony 2                    :=  
Response Friend Grant independence to colony 3                    := 
Number of Response Enemy Accept Treaty                            := 1
Response Enemy Accept Treaty 1                                    := You are wise to do so.
Response Enemy Accept Treaty 2                                    := 
Response Enemy Accept Treaty 3                                    := 
Number of Response Enemy Refuse Treaty                            := 1
Response Enemy Refuse Treaty 1                                    := Refusal is not acceptable. 
Response Enemy Refuse Treaty 2                                    := 
Response Enemy Refuse Treaty 3                                    := 
Number of Response Enemy Break Treaty                             := 1
Response Enemy Break Treaty 1                                     := You shall pay the consequences.
Response Enemy Break Treaty 2                                     := 
Response Enemy Break Treaty 3                                     := 
Number of Response Enemy Declare War                              := 1
Response Enemy Declare War 1                                      := We always knew war would come with your species.
Response Enemy Declare War 2                                      := 
Response Enemy Declare War 3                                      := 
Number of Response Enemy Accept Trade                             := 1
Response Enemy Accept Trade 1                                     := This trade between our peoples will help to smooth the waters of our relations.
Response Enemy Accept Trade 2                                     := 
Response Enemy Accept Trade 3                                     := 
Number of Response Enemy Refuse Trade                             := 1
Response Enemy Refuse Trade 1                                     := Refusing our trade is not a wise decision.
Response Enemy Refuse Trade 2                                     := 
Response Enemy Refuse Trade 3                                     := 
Number of Response Enemy Accept Gift                              := 1
Response Enemy Accept Gift 1                                      := We hope this will suffice.
Response Enemy Accept Gift 2                                      := 
Response Enemy Accept Gift 3                                      := 
Number of Response Enemy Refuse Gift                              := 1
Response Enemy Refuse Gift 1                                      := That will be the last you get!
Response Enemy Refuse Gift 2                                      := 
Response Enemy Refuse Gift 3                                      := 
Number of Response Enemy Accept Tribute                           := 1
Response Enemy Accept Tribute 1                                   := We are glad.
Response Enemy Accept Tribute 2                                   := 
Response Enemy Accept Tribute 3                                   := 
Number of Response Enemy Refuse Tribute                           := 1
Response Enemy Refuse Tribute 1                                   := What is the problem with our humble tribute?
Response Enemy Refuse Tribute 2                                   := 
Response Enemy Refuse Tribute 3                                   := 
Number of Response Enemy Want a gift                              := 1
Response Enemy Want a gift 1                                      := We cannot give you the gift you demand.
Response Enemy Want a gift 2                                      := 
Response Enemy Want a gift 3                                      := 
Number of Response Enemy Want a tribute                           := 1
Response Enemy Want a tribute 1                                   := We have no tribute to offer at this time.
Response Enemy Want a tribute 2                                   := 
Response Enemy Want a tribute 3                                   := 
Number of Response Enemy Demand your surrender                    := 1
Response Enemy Demand your surrender 1                            := This does not suprise us from you. We refuse to surrender!
Response Enemy Demand your surrender 2                            := 
Response Enemy Demand your surrender 3                            := 
Number of Response Enemy YES Remove your ships from system        := 1
Response Enemy YES Remove your ships from system 1                := We will comply, for now.
Response Enemy YES Remove your ships from system 2                := 
Response Enemy YES Remove your ships from system 3                := 
Number of Response Enemy NO Remove your ships from system         := 1
Response Enemy NO Remove your ships from system 1                 := We will fight to the death for the [%SystemName] system.
Response Enemy NO Remove your ships from system 2                 := 
Response Enemy NO Remove your ships from system 3                 := 
Number of Response Enemy YES Remove your colonies from system     := 1
Response Enemy YES Remove your colonies from system 1             := Our colonies will be removed from the [%SystemName] system.
Response Enemy YES Remove your colonies from system 2             := 
Response Enemy YES Remove your colonies from system 3             := 
Number of Response Enemy NO Remove your colonies from system      := 1
Response Enemy NO Remove your colonies from system 1              := Our colonies will stay where they are in the [%SystemName] system.
Response Enemy NO Remove your colonies from system 2              := 
Response Enemy NO Remove your colonies from system 3              := 
Number of Response Enemy YES Leave planet                         := 1
Response Enemy YES Leave planet 1                                 := We will leave the [&PlanetName] as soon as our ships are available.
Response Enemy YES Leave planet 2                                 := 
Response Enemy YES Leave planet 3                                 := 
Number of Response Enemy NO Leave planet                          := 1
Response Enemy NO Leave planet 1                                  := [%PlanetName] is ours and always will be.
Response Enemy NO Leave planet 2                                  := 
Response Enemy NO Leave planet 3                                  := 
Number of Response Enemy YES Stop hostile actions against empire  := 1
Response Enemy YES Stop hostile actions against empire 1          := We will suspend our attacks on the [%OtherEmpireName].
Response Enemy YES Stop hostile actions against empire 2          := 
Response Enemy YES Stop hostile actions against empire 3          := 
Number of Response Enemy NO Stop hostile actions against empire   := 1
Response Enemy NO Stop hostile actions against empire 1           := The [%OtherEmpireName] started it. Let them stop it.
Response Enemy NO Stop hostile actions against empire 2           := 
Response Enemy NO Stop hostile actions against empire 3           := 
Number of Response Enemy YES Break treaty with empire             := 1
Response Enemy YES Break treaty with empire 1                     := We will break our treaty with the [%OtherEmpireName].
Response Enemy YES Break treaty with empire 2                     := 
Response Enemy YES Break treaty with empire 3                     := 
Number of Response Enemy NO Break treaty with empire              := 1
Response Enemy NO Break treaty with empire 1                      := The [%OtherEmpireName] are more honorable than you We choose to keep our treaty.
Response Enemy NO Break treaty with empire 2                      := 
Response Enemy NO Break treaty with empire 3                      := 
Number of Response Enemy YES Declare war on empire                := 1
Response Enemy YES Declare war on empire 1                        := War with the [%OtherEmpireName] has begun...
Response Enemy YES Declare war on empire 2                        := 
Response Enemy YES Declare war on empire 3                        := 
Number of Response Enemy NO Declare war on empire                 := 1
Response Enemy NO Declare war on empire 1                         := Never!
Response Enemy NO Declare war on empire 2                         := 
Response Enemy NO Declare war on empire 3                         := 
Number of Response Enemy YES Make peace with empire               := 1
Response Enemy YES Make peace with empire 1                       := We will make peace with the [%OtherEmpireName].
Response Enemy YES Make peace with empire 2                       := 
Response Enemy YES Make peace with empire 3                       := 
Number of Response Enemy NO Make peace with empire                := 1
Response Enemy NO Make peace with empire 1                        := We will never make peace with the [%OtherEmpireName].
Response Enemy NO Make peace with empire 2                        := 
Response Enemy NO Make peace with empire 3                        := 
Number of Response Enemy YES Support us against another empire    := 1
Response Enemy YES Support us against another empire 1            := We will help you against the [%OtherEmpireName].
Response Enemy YES Support us against another empire 2            := 
Response Enemy YES Support us against another empire 3            := 
Number of Response Enemy NO Support us against another empire     := 1
Response Enemy NO Support us against another empire 1             := Only an ally can ask this of us.
Response Enemy NO Support us against another empire 2             := 
Response Enemy NO Support us against another empire 3             := 
Number of Response Enemy YES Attack empire in system              := 1
Response Enemy YES Attack empire in system 1                      := The [%SystemName] system was next on our list.
Response Enemy YES Attack empire in system 2                      := 
Response Enemy YES Attack empire in system 3                      := 
Number of Response Enemy NO Attack empire in system               := 1
Response Enemy NO Attack empire in system 1                       := Let the [%OtherEmpireName] have it.
Response Enemy NO Attack empire in system 2                       := 
Response Enemy NO Attack empire in system 3                       := 
Number of Response Enemy YES Attack planet                        := 1
Response Enemy YES Attack planet 1                                := Our forces speed even now for [%PlanetName].
Response Enemy YES Attack planet 2                                := 
Response Enemy YES Attack planet 3                                := 
Number of Response Enemy NO Attack planet                         := 1
Response Enemy NO Attack planet 1                                 := [%PlanetName] is not under our jurisdiction.
Response Enemy NO Attack planet 2                                 := 
Response Enemy NO Attack planet 3                                 := 
Number of Response Enemy YES Stop espionage activities            := 1
Response Enemy YES Stop espionage activities 1                    := We will cease, for now.
Response Enemy YES Stop espionage activities 2                    := 
Response Enemy YES Stop espionage activities 3                    := 
Number of Response Enemy NO Stop espionage activities             := 1
Response Enemy NO Stop espionage activities 1                     := Never! We will know all of your secrets.
Response Enemy NO Stop espionage activities 2                     := 
Response Enemy NO Stop espionage activities 3                     := 
Number of Response Enemy YES Stop sabotage activities             := 1
Response Enemy YES Stop sabotage activities 1                     := Our spies are returning home even now.
Response Enemy YES Stop sabotage activities 2                     := 
Response Enemy YES Stop sabotage activities 3                     := 
Number of Response Enemy NO Stop sabotage activities              := 1
Response Enemy NO Stop sabotage activities 1                      := Never! Your empire will crumble from within.
Response Enemy NO Stop sabotage activities 2                      := 
Response Enemy NO Stop sabotage activities 3                      := 
Number of Response Enemy YES Stop attacks in system               := 1
Response Enemy YES Stop attacks in system 1                       := We are leaving the [%SystemName] system.
Response Enemy YES Stop attacks in system 2                       := 
Response Enemy YES Stop attacks in system 3                       := 
Number of Response Enemy NO Stop attacks in system                := 1
Response Enemy NO Stop attacks in system 1                        := The [%SystemName] system is our training ground.
Response Enemy NO Stop attacks in system 2                        := 
Response Enemy NO Stop attacks in system 3                        := 
Number of Response Enemy Demand / Request / Warn                  := 0
Number of Response Enemy Surrender                                := 1
Response Enemy Surrender 1                                        := You have finally fallen to your masters.
Response Enemy Surrender 2                                        := 
Response Enemy Surrender 3                                        := 
Number of Response Enemy Grant independence to colony             := 1
Response Enemy Grant independence to colony 1                     := The colony on [%PlanetName] is ours once more.
Response Enemy Grant independence to colony 2                     :=  
Response Enemy Grant independence to colony 3                     := 
Number of Mega Evil Declarations                                  := 5
Mega Evil Declaration 1                                           := Your vile race has spread beyond any natural limits. We shall destroy you before you consume us. 
Mega Evil Declaration 2                                           := We can no longer let the [%TargetEmpireName] take over every planet in sight. You must be stopped. 
Mega Evil Declaration 3                                           := Your civilization has become a threat to the rest of the galaxy. We cannot allow you to continue. 
Mega Evil Declaration 4                                           := The rampant expansion of the [%TargetEmpireName] cannot go unchecked. You endanger the other sentient races. 
Mega Evil Declaration 5                                           := The [%OurEmpireName] cannot allow you, [%TargetEmperorTitle] [%TargetEmperorName], to threaten us with your massive empire. Your very size makes you an intolerable threat.   

=======================================================================================
*END*
=======================================================================================

