=======================================================================================
AI DATA FILE - Default
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
Number of Send Refuse Trade                                       := 5
Send Refuse Trade 1                                               := This trade is worthless to us.
Send Refuse Trade 2                                               := There is nothing of value in what you offer. We must refuse your trade.
Send Refuse Trade 3                                               := Though we encourage trade, we cannot accept this offer.
Send Refuse Trade 4                                               := Your proposed trade is not beneficial to us. We must decline.
Send Refuse Trade 5                                               := You need to work harder at learning what we like.
Number of Send Offer Counter Trade Proposal                       := 5
Send Offer Counter Trade Proposal 1                               := We have revised your trade proposal. It is now acceptable to us.
Send Offer Counter Trade Proposal 2                               := Not bad, but we have a better offer. Take a look at this.
Send Offer Counter Trade Proposal 3                               := Your offer was not quite to our tastes, how about this one instead. 
Send Offer Counter Trade Proposal 4                               := Your proposed trade is interesting, but we have a better trade proposal.
Send Offer Counter Trade Proposal 5                               := Your trade had few benefits for us. Here is one we prefer. 
Number of Send Give Gift                                          := 5
Send Give Gift 1                                                  := We provide this offering in the interests of peace. 
Send Give Gift 2                                                  := Your friendship is valued to us. We offer this gift in honor of our ally. 
Send Give Gift 3                                                  := In honor of our ancient leaders, we offer gifts in this time of plenty.
Send Give Gift 4                                                  := Here is a gift from our empire to yours.
Send Give Gift 5                                                  := This gift is to ensure our lasting peace. 
Number of Send Accept Gift                                        := 5
Send Accept Gift 1                                                := We appreciate this gift. May the winds guide you to fortune.
Send Accept Gift 2                                                := Your gift has been accepted by [%OurEmperorTitle] [%OurEmperorName].
Send Accept Gift 3                                                := You honor us.
Send Accept Gift 4                                                := Thank-you for the generous gift.
Send Accept Gift 5                                                := Your gift will not go unrewarded. 
Number of Send Refuse Gift                                        := 5
Send Refuse Gift 1                                                := We cannot accept such a gift.
Send Refuse Gift 2                                                := Your gift angers us. 
Send Refuse Gift 3                                                := This gift does not lead to a stronger alliance. 
Send Refuse Gift 4                                                := Your gift is insulting, we must refuse it.
Send Refuse Gift 5                                                := Take back your gifts, and come back when you learn proper respect.
Number of Send Offer Tribute                                      := 5
Send Offer Tribute 1                                              := We offer this tribute to appease [%TargetEmperorTitle] [%TargetEmperorName].
Send Offer Tribute 2                                              := We hope, [%TargetEmperorTitle] [%TargetEmperorName], that this will be to your liking.
Send Offer Tribute 3                                              := As required, a tribute from the peaceful [%OurEmpireName]. 
Send Offer Tribute 4                                              := Here is a tribute to your most respected empire.
Send Offer Tribute 5                                              := The [%OurEmpireName] always pay their dues.
Number of Send Accept Tribute                                     := 5
Send Accept Tribute 1                                             := Your tribute is accepted, [%TargetEmperorTitle] [%TargetEmperorName].
Send Accept Tribute 2                                             := We thank the [%TargetEmpireName] for their tribute. 
Send Accept Tribute 3                                             := As always, your tribute brings us both honor.
Send Accept Tribute 4                                             := We accept your tribute.
Send Accept Tribute 5                                             := We look forward to your future offerings.
Number of Send Refuse Tribute                                     := 5
Send Refuse Tribute 1                                             := Your tribute is less than required. Try again.
Send Refuse Tribute 2                                             := Your tribute displeases us, [%TargetEmperorTitle] [%TargetEmperorName].
Send Refuse Tribute 3                                             := This tribute is insulting. 
Send Refuse Tribute 4                                             := Your tribute is pathetic. We refuse it!
Send Refuse Tribute 5                                             := You have one more chance to get it right. The [%OurEmpireName] do not have limitless patience.
Number of Send Want a gift                                        := 5
Send Want a gift 1                                                := We require a gift to show your devotion.
Send Want a gift 2                                                := A gift is required of your people.
Send Want a gift 3                                                := There are many forces at work here. A gift might make us more understanding of your cause.
Send Want a gift 4                                                := Your many insults can only be forgotten if you show your friendship with gifts. 
Send Want a gift 5                                                := [%TargetEmperorTitle] [%TargetEmperorName], the time has come to repay your debts.
Number of Send Want a tribute                                     := 5
Send Want a tribute 1                                             := Its time to show your allegiance with your yearly tribute.
Send Want a tribute 2                                             := Only a tribute stays our hand, [%TargetEmperorTitle] [%TargetEmperorName].
Send Want a tribute 3                                             := We expect your payment promptly. 
Send Want a tribute 4                                             := We tire of relations with the [%TargetEmpireName]. You can change our mind with a tribute.
Send Want a tribute 5                                             := Did you think our kindness was free?
Number of Send Demand your surrender                              := 5
Send Demand your surrender 1                                      := Your empire is about to fall, we demand your surrender.
Send Demand your surrender 2                                      := Surrender or perish.
Send Demand your surrender 3                                      := Surrender to us and we will spare your life, [%TargetEmperorTitle] [%TargetEmperorName].
Send Demand your surrender 4                                      := You have fought valiantly, but genocide is not what we desire. 
Send Demand your surrender 5                                      := You shall become part of a greater whole. 
Number of Send Remove your ships from system                      := 5
Send Remove your ships from system 1                              := You must immediately remove all of your ships from the [%SystemName] system.
Send Remove your ships from system 2                              := The [%SystemName] system has been claimed by our people. We shall fight to defend it.
Send Remove your ships from system 3                              := We cannot allow any more of your incursions into the [%SystemName] system.
Send Remove your ships from system 4                              := We are planning a massive offensive in the [%SystemName] system. Unless you remove your ships, they might get damaged. 
Send Remove your ships from system 5                              := Ancient treaties stipulate that the [%SystemName] system belongs to our people. 
Number of Send Remove your colonies from system                   := 5
Send Remove your colonies from system 1                           := You must immediately remove your people from the [%SystemName] system.
Send Remove your colonies from system 2                           := Your colonies are in great danger in the [%SystemName] system.
Send Remove your colonies from system 3                           := The [%SystemName] system is our ancestral hunting grounds. If you remain, you too may become hunted.
Send Remove your colonies from system 4                           := The [%SystemName] system is about to be cleansed by us. We suggest you leave, now.
Send Remove your colonies from system 5                           := You have taken up residence on worlds which don't belong to you. Leave the [%SystemName] system at once!
Number of Send Leave planet                                       := 5
Send Leave planet 1                                               := The planet [%PlanetName] is claimed by our empire. Remove your populations.
Send Leave planet 2                                               := Planet [%PlanetName] is a world within our domain. Your colony there is an act of war. 
Send Leave planet 3                                               := We shall give you 6 months to remove your colony from [%PlanetName]. After that, we will remove it.
Send Leave planet 4                                               := Consider this notice that your colony on [%PlanetName] is in our territory.
Send Leave planet 5                                               := Within the coming months, we will begin bombarding the planet you call [%PlanetName]. You may want to be elsewhere.
Number of Send Stop hostile actions against empire                := 5
Send Stop hostile actions against empire 1                        := Your aggression against the [%OtherEmpireName] is unjustified. Cease at once.
Send Stop hostile actions against empire 2                        := Any more attacks on the [%OtherEmpireName], and we shall join with them to annihilate you. 
Send Stop hostile actions against empire 3                        := Have you gone mad? Stop your unprovoked attacks against the [%OtherEmpireName] immediately!
Send Stop hostile actions against empire 4                        := If it comes down to the [%OtherEmpireName] and the [%TargetEmpireName], we will pick the [%OtherEmpireName] every time.
Send Stop hostile actions against empire 5                        := Your disagreements with the [%OtherEmpireName] can be handled in other ways.
Number of Send Break treaty with empire                           := 5
Send Break treaty with empire 1                                   := We demand that you break your treaty with the [%OtherEmpireName].
Send Break treaty with empire 2                                   := How can you ally yourselves with the deceitful [%OtherEmpireName]?
Send Break treaty with empire 3                                   := If you forge bonds with our most hated enemy the [%OtherEmpireName], then we shall consider you an enemy as well. 
Send Break treaty with empire 4                                   := A warning from our people to yours, the [%OtherEmpireName] will betray you.
Send Break treaty with empire 5                                   := As long as you maintain a treaty with the [%OtherEmpireName], there can be no friendship between us.
Number of Send Declare war on empire                              := 5
Send Declare war on empire 1                                      := You must immediately declare war on the [%OtherEmpireName].
Send Declare war on empire 2                                      := The [%OtherEmpireName] have devastated our people. You must join with us and destroy them!
Send Declare war on empire 3                                      := War is the only language the [%OtherEmpireName] understand. 
Send Declare war on empire 4                                      := We must purge the galaxy of the vile [%OtherEmpireName]!
Send Declare war on empire 5                                      := Join with us brother, the [%OurEmpireName] and the [%TargetEmpireName] shall defeat the lowly [%OtherEmpireName]!
Number of Send Make peace with empire                             := 5
Send Make peace with empire 1                                     := You must make peace with the [%OtherEmpireName].
Send Make peace with empire 2                                     := We demand that you cease your hostilities and make peace with the [%OtherEmpireName].
Send Make peace with empire 3                                     := The [%OtherEmpireName] deserve a chance at friendship.
Send Make peace with empire 4                                     := The [%OtherEmpireName] are allies of ours. You must establish relations with them or suffer our disfavor.
Send Make peace with empire 5                                     := Your aggression against the [%OtherEmpireName] is reckless. You must make peace.
Number of Send Support us against another empire                  := 5
Send Support us against another empire 1                          := We require your support against the [%OtherEmpireName].
Send Support us against another empire 2                          := The vile [%OtherEmpireName] have blatantly defiled our territory. You must aide in our defense. 
Send Support us against another empire 3                          := We call upon the terms of our treaty in demanding that you attack the [%OtherEmpireName].
Send Support us against another empire 4                          := The [%OtherEmpireName] have begun a dangerous military expansion. We must band together to stop them.
Send Support us against another empire 5                          := If you do not help us against the [%OtherEmpireName], we shall turn our hatred on your people as well. 
Number of Send Attack empire in system                            := 5
Send Attack empire in system 1                                    := We must coordinate our military efforts against the [%OtherEmpireName] in the [%SystemName] system.
Send Attack empire in system 2                                    := The [%OtherEmpireName] have left themselves vulnerable in [%SystemName]. You must direct your attack there.
Send Attack empire in system 3                                    := Our spies tell us that the [%SystemName] system is a key focal point of the [%OtherEmpireName]. We are sending several fleets there, you must as well.
Send Attack empire in system 4                                    := The [%OtherEmpireName] are causing us serious hardship in the [%SystemName] system. We call upon our treaty to ask that you send forces there immediately.
Send Attack empire in system 5                                    := The [%SystemName] system is being invaded by the vicious [%OtherEmpireName]. Our combined forces there may stop the onslaught.
Number of Send Attack planet                                      := 5
Send Attack planet 1                                              := You must send your forces to attack [%PlanetName].
Send Attack planet 2                                              := Our spies have determined that [%PlanetName] is a major staging base for an attack against you.
Send Attack planet 3                                              := [%PlanetName] is the major military choke point in this section of the quadrant. We must take it out. 
Send Attack planet 4                                              := Our loathsome enemies have retreated to [%PlanetName]. We call upon our treaty and demand that you send forces to destroy the planet.
Send Attack planet 5                                              := We are gathering a fleet to attack [%PlanetName]. We fear that our forces alone may not be enough for the task. 
Number of Send Stop espionage activities                          := 5
Send Stop espionage activities 1                                  := Stop your espionage activities against us at once!
Send Stop espionage activities 2                                  := We have discovered your pathetic spies and executed them. We consider your spying an act of war. 
Send Stop espionage activities 3                                  := We know that you have been spying against our government. This is your last warning.
Send Stop espionage activities 4                                  := We have caught you stealing from us! We will tolerate this no longer.
Send Stop espionage activities 5                                  := Are you so lowly that you must steal from your neighbors? Do so again at your own risk.
Number of Send Stop sabotage activities                           := 5
Send Stop sabotage activities 1                                   := Stop your sabotage activities against us at once!
Send Stop sabotage activities 2                                   := We know that it was you that sabotaged us. You have brought us to the brink of all out war. 
Send Stop sabotage activities 3                                   := We cannot allow your treachery to go unpunished. We shall have our revenge. 
Send Stop sabotage activities 4                                   := Your people are not welcome in our space. You speak of peace, but sabotage was your real motive.
Send Stop sabotage activities 5                                   := We have discovered your spies too late to stop them in their terrible crime. Next time, we will be ready.
Number of Send Stop attacks in system                             := 5
Send Stop attacks in system 1                                     := Stop your flagrant attacks in the [%SystemName] system.
Send Stop attacks in system 2                                     := Your aggression in the [%SystemName] system will not be tolerated.
Send Stop attacks in system 3                                     := The [%SystemName] system is our sovereign territory. You have no right to engage our forces there. 
Send Stop attacks in system 4                                     := Your puny attacks in the [%SystemName] system will be your demise! 
Send Stop attacks in system 5                                     := Cease your aggression in the [%SystemName] system or suffer our wrath.
Number of Send Demand / Request / Warn                            := 0
Number of Send Surrender                                          := 5
Send Surrender 1                                                  := We surrender to your empire.
Send Surrender 2                                                  := To continue against an insurmountable foe such as you would be folly. We surrender to the [%TargetEmpireName].
Send Surrender 3                                                  := We do this as a last resort, [%TargetEmperorTitle] [%TargetEmperorName]. We wish to join your people.
Send Surrender 4                                                  := To prevent the destruction of our race, we humbly surrender to your forces.
Send Surrender 5                                                  := Though we fall now, we shall rise again. 
Number of Send Grant independence to colony                       := 5
Send Grant independence to colony 1                               := We have granted independence to your colony on [%PlanetName].
Send Grant independence to colony 2                               := Your people on [%PlanetName] are yours once more, [%TargetEmperorTitle] [%TargetEmperorName].   
Send Grant independence to colony 3                               := We have no need of [%PlanetName], you may have control back.
Send Grant independence to colony 4                               := We grow tired of the constant whining of the people of [%PlanetName]. They are more trouble than their worth. 
Send Grant independence to colony 5                               := As you desired [%TargetEmperorTitle] [%TargetEmperorName], planet [%PlanetName] has been returned to your government.
Number of Send Accept Demand/Request                              := 0
Number of Send Refuse Demand/Request                              := 0
Number of Send Friend Miscellaneous Msg                           := 5
Send Friend Miscellaneous Msg 1                                   := We are glad to have a strong ally such as you.
Send Friend Miscellaneous Msg 2                                   := Your military prowess is exceptional.
Send Friend Miscellaneous Msg 3                                   := There are many dangers that threaten our treaty.
Send Friend Miscellaneous Msg 4                                   := There are rumors that one of your planets is going to rebel.
Send Friend Miscellaneous Msg 5                                   := Trust no one but us brother. We shall light a path through the galaxy together!
Number of Send Enemy Miscellaneous Msg                            := 5
Send Enemy Miscellaneous Msg 1                                    := You will burn.
Send Enemy Miscellaneous Msg 2                                    := Your empire is at the end of its existence.
Send Enemy Miscellaneous Msg 3                                    := You have just begun to realize your folly.
Send Enemy Miscellaneous Msg 4                                    := Your demise is imminent.
Send Enemy Miscellaneous Msg 5                                    := Why continue this pointless resistance? If you will but put down your arms, we shall embrace you.
Number of Response Friend Accept Treaty                           := 5
Response Friend Accept Treaty 1                                   := This is a tremendous day!
Response Friend Accept Treaty 2                                   := We welcome our new ally. You have made the right choice, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Accept Treaty 3                                   := All the beacons of our worlds are lit up in celebration!
Response Friend Accept Treaty 4                                   := Come, we have much to discuss for the future. Our alliance is merely the beginning!
Response Friend Accept Treaty 5                                   := History will show this as the beginning of a new epoch for the quadrant.
Number of Response Friend Refuse Treaty                           := 5
Response Friend Refuse Treaty 1                                   := We're sorry to hear that. 
Response Friend Refuse Treaty 2                                   := That is a foolish decision, [%TargetEmperorTitle] [%TargetEmperorName]. This treaty would have been to great benefit for us both..
Response Friend Refuse Treaty 3                                   := Please rethink your decision, the future depends on it.
Response Friend Refuse Treaty 4                                   := That is very unfortunate.
Response Friend Refuse Treaty 5                                   := Perhaps next year?
Number of Response Friend Break Treaty                            := 5
Response Friend Break Treaty 1                                    := You must not break our treaty!.
Response Friend Break Treaty 2                                    := Why have you thrown away all of our hard work, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Friend Break Treaty 3                                    := This treaty maintained stability in the quadrant. Its loss will hurt us both.
Response Friend Break Treaty 4                                    := [%TargetEmperorTitle] [%TargetEmperorName], this is not what we expect of our allies. Are you in league with our enemies?
Response Friend Break Treaty 5                                    := Betrayal is never pleasant, [%TargetEmperorTitle] [%TargetEmperorName]. We shall not soon forget this.
Number of Response Friend Declare War                             := 5
Response Friend Declare War 1                                     := Backstabber! You shall pay.
Response Friend Declare War 2                                     := What would lead you to such folly, [%TargetEmperorTitle] [%TargetEmperorName]? You will only destroy yourselves.
Response Friend Declare War 3                                     := We suspected this day would come. We never really trusted you, [%TargetEmperorTitle] [%TargetEmperorName]. Aggression is the only desire in your heart.
Response Friend Declare War 4                                     := You are a fool [%TargetEmperorTitle] [%TargetEmperorName]. Your forces are no match for ours. We shall burn your worlds and the quadrant will forget your cursed name. 
Response Friend Declare War 5                                     := War has come. We have long been preparing for this day.
Number of Response Friend Accept Trade                            := 5
Response Friend Accept Trade 1                                    := Glad to do business with you.
Response Friend Accept Trade 2                                    := You are most welcome.
Response Friend Accept Trade 3                                    := Your trade will help our people everywhere.
Response Friend Accept Trade 4                                    := You are wise for one so young, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Accept Trade 5                                    := We look forward to future dealings with you, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend Refuse Trade                            := 5
Response Friend Refuse Trade 1                                    := That was an equitable trade you refused. 
Response Friend Refuse Trade 2                                    := Foolish.
Response Friend Refuse Trade 3                                    := Our honor does not take lightly to such refusals, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Refuse Trade 4                                    := If you dislike that trade, please propose one that you do.
Response Friend Refuse Trade 5                                    := You cannot remain so isolated if you are to survive. 
Number of Response Friend Accept Gift                             := 5
Response Friend Accept Gift 1                                     := We're glad you enjoy the gift.
Response Friend Accept Gift 2                                     := That gift is but a taste of what we have to offer.
Response Friend Accept Gift 3                                     := You honor us. 
Response Friend Accept Gift 4                                     := We too enjoy receiving gifts. 
Response Friend Accept Gift 5                                     := By your leave, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend Refuse Gift                             := 5
Response Friend Refuse Gift 1                                     := You insult us by refusing.
Response Friend Refuse Gift 2                                     := Why would you refuse such a generous gift, [%TargetEmperorTitle] [%TargetEmperorName]? 
Response Friend Refuse Gift 3                                     := There will not be another.
Response Friend Refuse Gift 4                                     := You wound us with your refusal, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Refuse Gift 5                                     := Is there nothing that will please you?
Number of Response Friend Accept Tribute                          := 5
Response Friend Accept Tribute 1                                  := As required, we have provided.
Response Friend Accept Tribute 2                                  := We are always pleased when our offering is accepted.
Response Friend Accept Tribute 3                                  := We hope that that our peace is now secure for a time.
Response Friend Accept Tribute 4                                  := By your leave, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Accept Tribute 5                                  := Until next year, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend Refuse Tribute                          := 5
Response Friend Refuse Tribute 1                                  := Was not the tribute required, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Friend Refuse Tribute 2                                  := That was all that we could provide!
Response Friend Refuse Tribute 3                                  := You ask too much of us [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Refuse Tribute 4                                  := We apologize for the mixup.
Response Friend Refuse Tribute 5                                  := The [%OurEmpireName] cannot provide anything more.
Number of Response Friend Want a gift                             := 5
Response Friend Want a gift 1                                     := We cannot supply that gift at this time.
Response Friend Want a gift 2                                     := Out people are barely surviving on what they have now. We cannot afford any more.
Response Friend Want a gift 3                                     := We respect the [%TargetEmpireName], but this is going to far.
Response Friend Want a gift 4                                     := Your request angers us.
Response Friend Want a gift 5                                     := Though we are allies, gifts among us are not needed at this time.
Number of Response Friend Want a tribute                          := 5
Response Friend Want a tribute 1                                  := We cannot afford such a large tribute!
Response Friend Want a tribute 2                                  := The [%TargetEmpireName] is not large enough to demand a tribute from us.
Response Friend Want a tribute 3                                  := We are allies. Do not throw away our good relations on pointless gestures.
Response Friend Want a tribute 4                                  := We would rather our alliance fall to pieces, then allow a dictator to come to power.
Response Friend Want a tribute 5                                  := Demanding tributes is not like you, [%TargetEmperorTitle] [%TargetEmperorName]. Do you intend to jeopardize our treaty?
Number of Response Friend Demand your surrender                   := 5
Response Friend Demand your surrender 1                           := Our honor will not allow us to surrender to an ally!
Response Friend Demand your surrender 2                           := How can you ask such a thing of your long time ally, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Friend Demand your surrender 3                           := Our people would rather die than surrender to one we thought was a friend!
Response Friend Demand your surrender 4                           := We shall fight on!
Response Friend Demand your surrender 5                           := Never.
Number of Response Friend YES Remove your ships from system       := 5
Response Friend YES Remove your ships from system 1               := We will remove our ships.
Response Friend YES Remove your ships from system 2               := Orders have been issued to move our forces our of the [%SystemName] system.
Response Friend YES Remove your ships from system 3               := The [%SystemName] system is yours. We are leaving.
Response Friend YES Remove your ships from system 4               := We hope your plan is good. We are withdrawing our forces from the [%SystemName] system.
Response Friend YES Remove your ships from system 5               := As you command, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend NO Remove your ships from system        := 5
Response Friend NO Remove your ships from system 1                := We will not remove our ships!
Response Friend NO Remove your ships from system 2                := Give us a few months, our ships need time to withdraw.
Response Friend NO Remove your ships from system 3                := We have pressing matters in the [%SystemName] system, we cannot remove them at this time.
Response Friend NO Remove your ships from system 4                := A major offensive is imminent in the [%SystemName] system. Our forces are required to defend the system.
Response Friend NO Remove your ships from system 5                := We are experiencing some technical difficulties on a number of our ships. As soon as they are repaired, we will remove them from the system.. 
Number of Response Friend YES Remove your colonies from system    := 5
Response Friend YES Remove your colonies from system 1            := We will leave the system as soon as possible.
Response Friend YES Remove your colonies from system 2            := Our transports are on the way to the [%SystemName] system. Our colonies will be removed as soon as possible.
Response Friend YES Remove your colonies from system 3            := Give us some time, [%TargetEmperorTitle] [%TargetEmperorName], and we shall remove our colonies.
Response Friend YES Remove your colonies from system 4            := Population relocation in the [%SystemName] system is underway.
Response Friend YES Remove your colonies from system 5            := We estimate that within 1 year, we shall have completely deserted the [%SystemName] system.
Number of Response Friend NO Remove your colonies from system     := 5
Response Friend NO Remove your colonies from system 1             := We will not leave the system.
Response Friend NO Remove your colonies from system 2             := The [%SystemName] system is fully settled. It would take us years to move the population.
Response Friend NO Remove your colonies from system 3             := We are conducting critical research in the [%SystemName] system. We cannot leave at this time.
Response Friend NO Remove your colonies from system 4             := We have as much right to the [%SystemName] system as you do. 
Response Friend NO Remove your colonies from system 5             := The [%SystemName] system is one of our ancestral homes. We shall not abandon it.
Number of Response Friend YES Leave planet                        := 5
Response Friend YES Leave planet 1                                := We are sending transports to remove the population from the planet.
Response Friend YES Leave planet 2                                := We will comply. Planet [%PlanetName] will be vacated.
Response Friend YES Leave planet 3                                := Our ships are on their way. We will soon be gone from [%PlanetName].
Response Friend YES Leave planet 4                                := We dislike being ordered to move one of our colonies. But for now, we will do so.
Response Friend YES Leave planet 5                                := We never cared for [%PlanetName] much anyway. 
Number of Response Friend NO Leave planet                         := 5
Response Friend NO Leave planet 1                                 := Our race has been on the planet long enough to never want to leave.
Response Friend NO Leave planet 2                                 := It would take us years to evacuate [%PlanetName]. We cannot do so for some time.
Response Friend NO Leave planet 3                                 := Our people on [%PlanetName] are conducting important archaeological digs. We cannot abandon them.
Response Friend NO Leave planet 4                                 := We have as much right to [%PlanetName] as you do. We will remain there. 
Response Friend NO Leave planet 5                                 := Unless a major catastrophe is coming, we will remain on [%PlanetName].
Number of Response Friend YES Stop hostile actions against empire := 5
Response Friend YES Stop hostile actions against empire 1         := We will cease our activities against the [%OtherEmpireName].
Response Friend YES Stop hostile actions against empire 2         := But they have butchered our people! We shall comply, for now.
Response Friend YES Stop hostile actions against empire 3         := We will do you this favor, [%TargetEmperorTitle] [%TargetEmperorName]. But you owe us.
Response Friend YES Stop hostile actions against empire 4         := The [%OtherEmpireName] was a minor skirmish. It will trouble you no longer.
Response Friend YES Stop hostile actions against empire 5         := That you care about the [%OtherEmpireName] is your own folly. We shall desist for now.
Number of Response Friend NO Stop hostile actions against empire  := 5
Response Friend NO Stop hostile actions against empire 1          := Our war against the [%OtherEmpireName] will stop when they capitulate.
Response Friend NO Stop hostile actions against empire 2          := We shall never rest until the [%OtherEmpireName] have been eradicated.
Response Friend NO Stop hostile actions against empire 3          := You would hold us back against the murderous [%OtherEmpireName]? Do not get in our way, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend NO Stop hostile actions against empire 4          := Our treaty, [%TargetEmperorTitle] [%TargetEmperorName], should come before all others. We shall not stop our attack.
Response Friend NO Stop hostile actions against empire 5          := The [%OtherEmpireName] deserve their fate.
Number of Response Friend YES Break treaty with empire            := 5
Response Friend YES Break treaty with empire 1                    := Our treaty with the [%OtherEmpireName] is done.
Response Friend YES Break treaty with empire 2                    := We have severed all ties with the [%OtherEmpireName]. 
Response Friend YES Break treaty with empire 3                    := We were only toying with the [%OtherEmpireName]. Now we shall fight them together!
Response Friend YES Break treaty with empire 4                    := We value your alliance more, [%TargetEmperorTitle] [%TargetEmperorName]. We shall break with the [%OtherEmpireName].
Response Friend YES Break treaty with empire 5                    := The alliance between the [%OtherEmpireName] and the [%OurEmpireName] is over. 
Number of Response Friend NO Break treaty with empire             := 5
Response Friend NO Break treaty with empire 1                     := Our treaty with the [%OtherEmpireName] will outlast your empire!
Response Friend NO Break treaty with empire 2                     := We cannot break with our most trusted ally.
Response Friend NO Break treaty with empire 3                     := Though you are our ally, you cannot dictate our relations with others, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend NO Break treaty with empire 4                     := The [%OtherEmpireName] have been our long time allies. Why should we break with them?
Response Friend NO Break treaty with empire 5                     := You cannot ask that of us.
